Transaction;Tanggal;Items
125000868;Januari 06, 2025;CEREBROFORT GOLD ORANGE 100 ML, CEREBROFORT GOLD ORANGE 200 ML, WOODS COUGH SYR ATT  60ML
125000874;Januari 06, 2025;WOODS EXPECTORANT 60 ML, PROMAG TABLET
125000882;Januari 06, 2025;SKT ACTIV SIRUP 100 ML, SKT ACTIV SIRUP 300 ML, WOODS COUGH SYR ATT 100ML
125000885;Januari 06, 2025;KOMIX OBH PE, KALPANAX K CREAM 5 GR
125000890;Januari 06, 2025;WOODS COUGH SYR ATT  60ML, WOODS EXPECTORANT 60 ML
125000897;Januari 06, 2025;KOMIX KID STRAWBERRY PACK, KOMIX J.NIPIS G-FORMULA B, KOMIX KID OBH PE
125000900;Januari 06, 2025;WOODS COUGH SYR ATT  60ML, WOODS EXPECTORANT 60 ML, PUYER OSK BT NO.16/BOX, CEREBROFORT M.G. AGGR SCH, CEREBROFORT MG MGA SCH, CEREBROFORT MG STRAW SCH, FATIGON KAPLET 10X6S, FATIGON SPIRIT BOX 10X6S, ENTROSTOP 10'S, SAKATONIK ABC ANGGUR30TAB
125000901;Januari 06, 2025;KALPANAX K CREAM 5 GR, KALPANAX KRIM 10 GR, WOODS COUGH SYR ATT 100ML, WOODS EXPECTORANT 100 ML, PROMAG TABLET
125000903;Januari 06, 2025;KOMIX OBH PE, PROMAG TABLET
125000905;Januari 06, 2025;ENTROSTOP 10'S, SAKATONIK ACTIV MULTIVIT ZAT BESI - KAPLET 6S
125000906;Januari 06, 2025;KOMIX J.NIPIS G-FORMULA B, KOMIX PEPP.G-FORMULA BOX, KOMIX OBH PE
125000922;Januari 06, 2025;KALPANAX K CREAM 5 GR, CEREBROFORT GOLD ORANGE 100 ML, CEREBROFORT GOLD STRAWBERY
125000924;Januari 06, 2025;WOODS EXPECTORANT 60 ML, SKT ABC CURCUMA MADU
125000925;Januari 06, 2025;KOMIX HERBAL 15 ML, KOMIX HERBAL PEPPERMINT, KOMIX OBH PE
125000948;Januari 06, 2025;KALPANAX K CREAM 5 GR, KALPANAX KRIM 10 GR
125000952;Januari 06, 2025;KALPANAX K CREAM 5 GR, PROMAG TABLET
125000957;Januari 06, 2025;PROMAG HERBAL 15 ML, SAKATONIK ABC ANTARIKSA 30 TAB
125000958;Januari 06, 2025;BEJO JAHE MERAH HERBAL 6S MT, KOMIX HERBAL PEPPERMINT, KALPANAX K CREAM 5 GR, KALPANAX SALEP 6G/12, KALPANAX KRIM 10 GR, CEREBROFORT GOLD ORANGE 100 ML, CEREBROFORT GOLD STRAWBERY, WOODS COUGH SYR ATT  60ML
125000971;Januari 06, 2025;PROMAG HERBAL 15 ML, SKT ACTIV SIRUP 100 ML, PROMAG TABLET, SAKATONIK ABC ANTARIKSA 30 TAB, SAKATONIK ABC ANGGUR30TAB, SAKATONIK ABC ORANGE 30TAB
125000972;Januari 06, 2025;BEJO JAHE MERAH HERBAL 12 SC, SKT ABC CURCUMA MADU
125000988;Januari 06, 2025;KALPANAX K CREAM 5 GR, CEREBROFORT GOLD ORANGE 100 ML, CEREBROFORT GOLD STRAWBERY
125000989;Januari 06, 2025;CEREBROFORT M.G. AGGR SCH, CEREBROFORT MG MGA SCH, CEREBROFORT MG STRAW SCH, SAKATONIK ABC ANTARIKSA 30 TAB, SAKATONIK ABC STRAW 30TAB, SAKATONIK ABC ANGGUR30TAB, SAKATONIK ABC ORANGE 30TAB
125000990;Januari 06, 2025;ENTROSTOP 10'S, MIXAGRIP FLU KAPLET 25X4
125001000;Januari 06, 2025;KALPANAX SALEP 6G/12, WOODS'LOZ BLACKCURRANT, WOODS LOZENGES 6'S
125001004;Januari 06, 2025;KOMIX OBH PE, FATIGON KAPLET 10X6S
125001006;Januari 06, 2025;BEJO JAHE MERAH HERBAL 12 SC, WOODS COUGH SYR ATT  60ML
